"","date_name","deeper_count","weekend"
"1",2019-01-13,12,"1"
"2",2019-01-27,12,"1"
"3",2019-02-03,10,"1"
"4",2021-01-23,9,"1"
"5",2021-01-24,8,"1"
"6",2019-01-20,8,"1"
"7",2019-02-17,7,"1"
"8",2019-01-14,7,"0"
"9",2021-01-25,6,"0"
"10",2019-01-21,6,"0"
"11",2019-01-28,6,"0"
"12",2019-02-01,5,"0"
"13",2019-02-10,5,"1"
"14",2019-01-18,5,"0"
"15",2020-10-26,4,"0"
"16",2019-02-08,4,"0"
"17",2019-01-19,4,"1"
"18",2019-10-07,4,"0"
"19",2019-11-17,4,"1"
"20",2019-02-24,4,"1"
"21",2019-01-16,4,"0"
"22",2019-01-22,4,"0"
"23",2019-08-11,4,"1"
"24",2019-06-17,3,"0"
"25",2019-02-11,3,"0"
"26",2019-06-24,3,"0"
"27",2019-01-23,3,"0"
"28",2021-01-22,3,"0"
"29",2020-05-22,3,"0"
"30",2020-10-11,3,"1"
"31",2019-07-02,3,"0"
"32",2019-10-21,3,"0"
"33",2021-02-07,3,"1"
"34",2019-01-24,3,"0"
"35",2019-01-29,3,"0"
"36",2019-01-30,3,"0"
"37",2019-02-09,3,"1"
"38",2021-01-31,3,"1"
"39",2020-09-09,3,"0"
"40",2019-01-10,3,"0"
"41",2020-04-06,3,"0"
"42",2020-11-30,2,"0"
"43",2020-04-02,2,"0"
"44",2019-10-14,2,"0"
"45",2019-08-07,2,"0"
"46",2019-02-23,2,"1"
"47",2019-01-12,2,"1"
"48",2020-06-12,2,"0"
"49",2020-11-29,2,"1"
"50",2021-01-18,2,"0"
"51",2019-08-04,2,"1"
"52",2020-05-30,2,"1"
"53",2020-03-30,2,"0"
"54",2021-02-05,2,"0"
"55",2020-09-28,2,"0"
"56",2020-04-07,2,"0"
"57",2020-03-27,2,"0"
"58",2019-01-31,2,"0"
"59",2019-02-05,2,"0"
"60",2019-09-14,2,"1"
"61",2019-01-11,2,"0"
"62",2021-02-02,2,"0"
"63",2020-05-23,2,"1"
"64",2019-06-04,2,"0"
"65",2019-11-24,2,"1"
"66",2020-01-18,2,"1"
"67",2019-10-26,2,"1"
"68",2020-08-15,2,"1"
"69",2020-11-08,2,"1"
"70",2019-04-20,2,"1"
"71",2019-05-06,2,"0"
"72",2020-08-01,2,"1"
"73",2020-05-16,2,"1"
"74",2019-01-17,2,"0"
"75",2019-02-18,2,"0"
"76",2019-11-06,2,"0"
"77",2020-04-21,2,"0"
"78",2020-06-17,2,"0"
"79",2019-01-26,2,"1"
"80",2020-10-27,2,"0"
"81",2019-02-04,2,"0"
"82",2021-01-20,2,"0"
"83",2021-02-06,2,"1"
"84",2019-02-02,2,"1"
"85",2019-11-03,2,"1"
"86",2019-05-22,2,"0"
"87",2019-05-25,2,"1"
"88",2019-10-16,2,"0"
"89",2020-04-05,2,"1"
"90",2020-05-24,2,"1"
"91",2019-06-05,2,"0"
"92",2020-07-05,2,"1"
"93",2020-06-16,2,"0"
"94",2019-08-16,2,"0"
"95",2019-09-23,2,"0"
"96",2020-09-12,2,"1"
"97",2020-09-16,2,"0"
"98",2020-06-14,2,"1"
"99",2021-01-30,2,"1"
"100",2020-08-29,1,"1"
"101",2020-05-03,1,"1"
"102",2019-04-12,1,"0"
"103",2020-11-20,1,"0"
"104",2019-05-13,1,"0"
"105",2020-07-08,1,"0"
"106",2019-07-07,1,"1"
"107",2020-04-13,1,"0"
"108",2019-08-22,1,"0"
"109",2019-03-31,1,"1"
"110",2019-05-19,1,"1"
"111",2019-06-30,1,"1"
"112",2020-05-17,1,"1"
"113",2020-09-30,1,"0"
"114",2020-04-30,1,"0"
"115",2019-03-26,1,"0"
"116",2019-04-19,1,"0"
"117",2020-12-30,1,"0"
"118",2020-02-26,1,"0"
"119",2020-10-04,1,"1"
"120",2019-01-07,1,"0"
"121",2019-01-08,1,"0"
"122",2019-09-03,1,"0"
"123",2019-01-25,1,"0"
"124",2020-01-03,1,"0"
"125",2019-04-02,1,"0"
"126",2020-06-24,1,"0"
"127",2020-09-15,1,"0"
"128",2019-11-08,1,"0"
"129",2020-01-25,1,"1"
"130",2019-04-05,1,"0"
"131",2019-08-25,1,"1"
"132",2020-08-10,1,"0"
"133",2020-05-18,1,"0"
"134",2019-06-02,1,"1"
"135",2019-02-07,1,"0"
"136",2019-08-26,1,"0"
"137",2020-05-01,1,"0"
"138",2020-04-19,1,"1"
"139",2020-05-10,1,"1"
"140",2019-11-10,1,"1"
"141",2020-05-11,1,"0"
"142",2019-08-14,1,"0"
"143",2020-04-03,1,"0"
"144",2019-04-27,1,"1"
"145",2019-02-20,1,"0"
"146",2019-01-09,1,"0"
"147",2019-09-30,1,"0"
"148",2019-10-04,1,"0"
"149",2019-10-09,1,"0"
"150",2019-11-11,1,"0"
"151",2019-12-27,1,"0"
"152",2020-01-12,1,"1"
"153",2020-02-02,1,"1"
"154",2020-02-15,1,"1"
"155",2020-02-24,1,"0"
"156",2020-09-22,1,"0"
"157",2020-09-27,1,"1"
"158",2020-10-06,1,"0"
"159",2020-11-13,1,"0"
"160",2020-12-20,1,"1"
"161",2021-01-07,1,"0"
"162",2019-08-03,1,"1"
"163",2020-06-21,1,"1"
"164",2019-05-12,1,"1"
"165",2020-05-09,1,"1"
"166",2019-04-29,1,"0"
"167",2020-06-07,1,"1"
"168",2019-05-03,1,"0"
"169",2019-10-19,1,"1"
"170",2019-11-02,1,"1"
"171",2020-06-18,1,"0"
"172",2020-05-28,1,"0"
"173",2020-03-12,1,"0"
"174",2019-08-21,1,"0"
"175",2019-10-27,1,"1"
"176",2019-10-24,1,"0"
"177",2019-12-03,1,"0"
"178",2019-12-17,1,"0"
"179",2019-12-21,1,"1"
"180",2020-03-24,1,"0"
"181",2020-09-20,1,"1"
"182",2020-11-06,1,"0"
"183",2020-11-17,1,"0"
"184",2019-10-02,1,"0"
"185",2019-06-01,1,"1"
"186",2019-07-23,1,"0"
"187",2020-01-01,1,"0"
"188",2020-02-16,1,"1"
"189",2021-01-27,1,"0"
"190",2020-11-26,1,"0"
"191",2019-04-06,1,"1"
"192",2020-04-11,1,"1"
"193",2020-11-16,1,"0"
"194",2019-10-31,1,"0"
"195",2019-08-10,1,"1"
"196",2020-03-26,1,"0"
"197",2020-10-19,1,"0"
"198",2019-05-02,1,"0"
"199",2020-06-08,1,"0"
"200",2019-04-28,1,"1"
"201",2021-02-01,1,"0"
"202",2019-08-24,1,"1"
"203",2019-09-11,1,"0"
"204",2019-09-17,1,"0"
"205",2019-03-17,1,"1"
"206",2021-02-04,1,"0"
"207",2019-05-28,1,"0"
"208",2019-10-11,1,"0"
"209",2020-01-15,1,"0"
"210",2019-05-05,1,"1"
"211",2019-02-14,1,"0"
"212",2019-06-20,1,"0"
"213",2019-06-08,1,"1"
"214",2019-07-17,1,"0"
"215",2020-11-10,1,"0"
"216",2019-06-03,1,"0"
"217",2019-03-09,1,"1"
"218",2019-03-12,1,"0"
"219",2020-12-08,1,"0"
"220",2019-09-24,1,"0"
"221",2020-06-02,1,"0"
"222",2019-02-25,1,"0"
"223",2020-10-25,1,"1"
"224",2019-03-24,1,"1"
"225",2020-07-25,1,"1"
"226",2019-07-05,1,"0"
"227",2019-10-29,1,"0"
"228",2019-05-04,1,"1"
"229",2019-07-09,1,"0"
"230",2019-05-23,1,"0"
"231",2019-11-18,1,"0"
"232",2020-03-01,1,"1"
"233",2019-12-25,1,"0"
"234",2019-12-26,1,"0"
"235",2019-12-28,1,"1"
"236",2019-12-30,1,"0"
"237",2020-01-20,1,"0"
"238",2020-02-12,1,"0"
"239",2020-02-18,1,"0"
"240",2020-02-20,1,"0"
"241",2020-03-28,1,"1"
"242",2020-04-12,1,"1"
"243",2020-04-20,1,"0"
"244",2020-05-06,1,"0"
"245",2020-05-25,1,"0"
"246",2020-05-27,1,"0"
"247",2020-06-03,1,"0"
"248",2020-07-24,1,"0"
"249",2020-07-27,1,"0"
"250",2020-08-05,1,"0"
"251",2020-08-20,1,"0"
"252",2020-09-01,1,"0"
"253",2020-09-04,1,"0"
"254",2020-09-08,1,"0"
"255",2020-09-14,1,"0"
"256",2020-10-20,1,"0"
"257",2020-11-04,1,"0"
"258",2020-12-25,1,"0"
"259",2019-07-29,1,"0"
"260",2019-02-12,1,"0"
"261",2021-01-26,1,"0"
"262",2019-12-22,1,"1"
"263",2020-08-18,1,"0"
"264",2020-08-23,1,"1"
"265",2020-11-21,1,"1"
"266",2020-01-10,1,"0"
"267",2020-06-20,1,"1"
"268",2020-03-08,1,"1"
"269",2020-07-12,1,"1"
"270",2020-10-12,1,"0"
"271",2020-10-14,1,"0"
"272",2020-10-29,1,"0"
"273",2020-11-03,1,"0"
"274",2020-11-09,1,"0"
"275",2020-11-14,1,"1"
"276",2020-10-16,1,"0"
"277",2019-08-02,1,"0"
"278",2019-04-13,1,"1"
"279",2019-04-24,1,"0"
"280",2020-04-08,1,"0"
"281",2019-11-20,1,"0"
"282",2019-07-06,1,"1"
"283",2020-03-29,1,"1"
"284",2019-11-22,1,"0"
"285",2020-06-09,1,"0"
"286",2020-07-15,1,"0"
"287",2019-07-20,1,"1"
"288",2020-05-20,1,"0"
"289",2020-10-28,1,"0"
"290",2019-05-29,1,"0"
